Gadget Chains Text File	Size
../dataset/testcases/htmlunit-2.8/target/htmlunit-testcases-1.0-jar-with-dependencies.txt	4546
../dataset/testcases/batik-1.7/target/batik-testcases-1.0-jar-with-dependencies.txt	179
../dataset/testcases/commons-collections-3.2.1/target/commons-collections-testcases-1.0-jar-with-dependencies.txt	1389
