Project,TC,Approach,Policy,FromNode,ToNode
james,TC_MailImpl_Array,SALSA,0-1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_Array,SALSA,0-1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_Array,SALSA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_Array,SALSA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_Simple,WALA,0-1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_Simple,WALA,0-1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_Simple,WALA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_Simple,WALA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_Map,WALA,0-1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_Map,WALA,0-1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_Map,WALA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_Map,WALA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_List,WALA,1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_List,WALA,1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_List,WALA,1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_List,WALA,1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_List,WALA,0-1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_List,WALA,0-1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_List,WALA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_List,WALA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_List,SALSA,0-1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_List,SALSA,0-1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_List,SALSA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_List,SALSA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_Map,WALA,1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_Map,WALA,1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_Map,WALA,1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_Map,WALA,1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_Set,SALSA,1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_Set,SALSA,1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_Set,SALSA,1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_Set,SALSA,1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_Set,SALSA,0-1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_Set,SALSA,0-1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_Set,SALSA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_Set,SALSA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_Array,SALSA,1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_Array,SALSA,1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_Array,SALSA,1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_Array,SALSA,1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_Set,SENECA,1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_Array,WALA,0-1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_Array,WALA,0-1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_Array,WALA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_Array,WALA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_Map,SALSA,1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_Map,SALSA,1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_Map,SALSA,1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_Map,SALSA,1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_Set,WALA,1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_Set,WALA,1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_Set,WALA,1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_Set,WALA,1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_Map,SALSA,0-1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
james,TC_MailImpl_Map,SALSA,0-1-CFA,org.apache.james.core.MailImpl:readObject,org.apache.james.core.MailImpl:setLastUpdated
james,TC_MailImpl_Map,SALSA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:getTime
james,TC_MailImpl_Map,SALSA,0-1-CFA,org.apache.james.core.MailImpl:setLastUpdated,java.util.Date:<init>
james,TC_MailImpl_List,SALSA,1-CFA,org.apache.james.core.MailImpl:writeObject,java.util.Date:<init>
