Project,TC,Approach,Policy,FromNode,ToNode
jpf,ALL,SENECA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest,salsa.model.ObjectOutputStream:writeObject
jpf,ALL,SENECA,1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
jpf,ALL,SENECA,1-CFA,org.java.plugin.registry.Version:parseString,java.lang.StringBuffer:<init>
jpf,ALL,SENECA,1-CFA,org.java.plugin.registry.Version:parseString,java.lang.StringBuffer:toString
jpf,ALL,SENECA,1-CFA,org.java.plugin.registry.Version:parseString,java.lang.StringBuffer:append
jpf,ALL,SENECA,1-CFA,org.java.plugin.registry.Version:equals,java.lang.String:equalsIgnoreCase
jpf,ALL,SENECA,1-CFA,org.java.plugin.registry.Version:compareTo,java.lang.ClassCastException:<init>
jpf,ALL,SENECA,1-CFA,org.java.plugin.registry.Version:compareTo,java.lang.String:toLowerCase
jpf,ALL,SENECA,1-CFA,org.java.plugin.registry.Version:compareTo,org.java.plugin.registry.Version:equals
jpf,ALL,SENECA,1-CFA,org.java.plugin.registry.Version:compareTo,java.lang.String:compareTo
