Project,TC,Approach,Policy,# Correct,# Incorrect,# java.io. Incorrect,# <clinit> Incorrect,#Excluded missing edges,# Actual (minus java.io.*/<clinit>/excluded),Missed relevant nodes,# Missing relevant nodes (Nodes in SCG not in RCG)
batik,TC_PadMode_Array.txt,WALA,0-1-CFA,0,461,10,7,0,444,org.apache.batik.i18n.LocalizableSupport:setUsedLocale;org.apache.batik.dom.events.DocumentEventSupport$TextEventFactory:createEvent;testcases.TC_TextNode_Anchor_Map:<init>;java.util.ArrayList:add;org.apache.batik.dom.GenericDocument:<init>;testcases.TC_AbstractDocument_Array:<init>;org.apache.batik.dom.events.DocumentEventSupport$MutationEventFactory:createEvent;testcases.TC_CompositeRule_Map:main;java.util.ArrayList:size;java.util.HashSet:contains;testcases.TC_TextNode_Anchor_Map:main;org.apache.batik.dom.AbstractParentNode:checkAndRemove;testcases.TC_CompositeRule_Array:<init>;testcases.TC_PadMode_Simple:getObject;org.apache.batik.dom.xbl.GenericXBLManager:<init>;org.apache.batik.dom.events.DOMMutationEvent:initMutationEventNS;edu.rit.se.design.salsa.testcases.utils.AbstractCompositeTestCase:<init>;testcases.TC_PadMode_Simple:main;testcases.TC_AbstractDocument_Simple:<init>;org.apache.batik.dom.events.DocumentEventSupport$KeyboardEventFactory:<init>;testcases.TC_AbstractDocument_Map:main;org.apache.batik.dom.events.DocumentEventSupport$MouseEventFactory:createEvent;org.apache.batik.dom.AbstractNode:getParentNodeEventTarget;org.apache.batik.dom.AbstractParentNode:appendChild;org.apache.batik.dom.events.DOMTextEvent:<init>;org.apache.batik.dom.AbstractChildNode:setParentNode;org.apache.batik.dom.events.DOMEvent:<init>;org.apache.batik.dom.AbstractParentNode:fireDOMNodeRemovedEvent;java.lang.String:toString;org.apache.batik.ext.awt.image.PadMode:<init>;org.apache.batik.dom.AbstractParentNode$ChildNodes:remove;org.apache.batik.dom.AbstractDocument:getEventsEnabled;testcases.TC_PadMode_List:main;java.util.HashSet:clear;org.apache.batik.dom.events.DocumentEventSupport$MutationEventFactory:<init>;org.apache.batik.dom.AbstractNode:getFirstChild;org.apache.batik.dom.AbstractDOMImplementation:createDocumentEventSupport;org.apache.batik.dom.xbl.GenericXBLManager:getXblParentNode;org.apache.batik.dom.AbstractDocument:setEventsEnabled;java.lang.StringBuilder:append;testcases.TC_AbstractDocument_Simple:getObject;org.apache.batik.dom.GenericDocument:isReadonly;org.apache.batik.dom.GenericDOMImplementation:<init>;org.apache.batik.dom.AbstractChildNode:getParentNode;testcases.TC_ARGBChannel_Array:<init>;testcases.TC_AbstractDocument_Map:<init>;org.apache.batik.gvt.TextNode$Anchor:<init>;java.util.HashMap:<init>;edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:<init>;testcases.TC_AbstractDocument_Simple:main;org.apache.batik.dom.GenericDocumentType:<init>;edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getTestName;org.apache.batik.i18n.LocalizableSupport:hasNextResourceBundle;java.lang.String:toLowerCase;org.apache.batik.dom.AbstractNode:getXblParentNode;edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:<init>;org.apache.batik.dom.AbstractParentNode$ChildNodes:<init>;org.apache.batik.dom.events.DOMCustomEvent:<init>;edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:<init>;java.lang.Class:getName;org.apache.batik.dom.events.DocumentEventSupport$TextEventFactory:<init>;org.apache.batik.dom.AbstractParentNode:fireDOMNodeInsertedEvent;testcases.TC_AbstractDocument_List:<init>;org.apache.batik.dom.util.HashTable:get;testcases.TC_ARGBChannel_Set:main;edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getObject;java.util.MissingResourceException:<init>;org.apache.batik.dom.events.DOMKeyboardEvent:<init>;testcases.TC_CompositeRule_Simple:getObject;org.apache.batik.dom.AbstractDocument:getNodeName;org.apache.batik.dom.AbstractDocument:getXBLManager;org.apache.batik.dom.events.DOMMouseEvent:<init>;testcases.TC_ARGBChannel_Map:<init>;edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getObject;testcases.TC_CompositeRule_Array:main;testcases.TC_AbstractDocument_Set:main;java.util.AbstractMap:toString;testcases.TC_ARGBChannel_Set:<init>;org.apache.batik.dom.events.DOMMutationEvent:<init>;org.apache.batik.dom.AbstractDocument:checkChildType;testcases.TC_ARGBChannel_Array:main;testcases.TC_ARGBChannel_List:main;org.apache.batik.dom.events.EventSupport:dispatchEvent;org.apache.batik.dom.events.DocumentEventSupport$SimpleEventFactory:createEvent;testcases.TC_AbstractDocument_Array:main;org.apache.batik.dom.AbstractParentNode:nodeAdded;org.apache.batik.dom.AbstractParentNode:removeChild;org.apache.batik.dom.AbstractDOMImplementation:<init>;org.apache.batik.dom.AbstractDocument:getImplementation;testcases.TC_PadMode_Simple:<init>;edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:getObject;org.apache.batik.dom.AbstractDocument:getNodeType;testcases.TC_PadMode_List:<init>;org.apache.batik.dom.AbstractDocument:createEvent;org.apache.batik.i18n.LocalizableSupport:getCurrentLocale;org.apache.batik.dom.AbstractDOMImplementation:createEventSupport;java.lang.StringBuilder:<init>;org.apache.batik.dom.events.DocumentEventSupport$SimpleEventFactory:<init>;org.apache.batik.dom.AbstractDocument:getCurrentDocument;org.apache.batik.dom.AbstractNode:initializeEventSupport;java.lang.System:currentTimeMillis;testcases.TC_PadMode_Set:main;java.lang.Class:getClassLoader;org.apache.batik.dom.events.DocumentEventSupport$KeyboardEventFactory:createEvent;org.apache.batik.dom.GenericDocumentType:getNodeName;testcases.TC_TextNode_Anchor_Set:main;java.lang.Object:getClass;java.util.ArrayList:clear;org.apache.batik.i18n.LocaleGroup:<init>;org.apache.batik.dom.events.DOMKeyEvent:<init>;org.apache.batik.ext.awt.image.CompositeRule:toString;java.lang.String:equals;org.apache.batik.i18n.LocalizableSupport:getResourceBundle;edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:<init>;org.apache.batik.dom.AbstractParentNode:fireDOMSubtreeModifiedEvent;edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getTestName;java.util.AbstractCollection:toString;org.apache.batik.dom.events.AbstractEvent:setCurrentTarget;org.apache.batik.dom.events.AbstractEvent:setEventPhase;org.apache.batik.dom.AbstractDocument:nodeToBeRemoved;org.apache.batik.dom.AbstractChildNode:getPreviousSibling;org.apache.batik.dom.AbstractNode:getOwnerDocument;org.apache.batik.i18n.LocalizableSupport:formatMessage;org.apache.batik.dom.AbstractDocument:getXblParentNode;org.apache.batik.dom.AbstractNode$1:<init>;testcases.TC_CompositeRule_Set:main;org.apache.batik.dom.AbstractDocument:formatMessage;org.apache.batik.dom.events.DocumentEventSupport:<init>;java.text.MessageFormat:format;org.apache.batik.dom.events.DocumentEventSupport$UIEventFactory:<init>;java.util.ResourceBundle:getString;java.util.HashMap:put;testcases.TC_ARGBChannel_Map:main;java.util.ResourceBundle:getBundle;java.util.AbstractCollection:addAll;edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:<init>;edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getTestName;java.lang.Object:<init>;org.apache.batik.dom.events.AbstractEvent:stopPropagation;org.apache.batik.dom.events.DocumentEventSupport$KeyEventFactory:createEvent;org.apache.batik.dom.events.AbstractEvent:getBubbles;org.apache.batik.dom.AbstractDOMImplementation:registerFeature;org.apache.batik.dom.events.AbstractEvent:getDefaultActions;java.lang.Object:toString;org.apache.batik.dom.AbstractNode:<init>;org.apache.batik.dom.AbstractDocument:getDocumentElement;org.apache.batik.dom.util.HashTable$Entry:<init>;org.apache.batik.dom.AbstractParentNode:<init>;org.apache.batik.dom.util.HashTable:<init>;java.util.Locale:getDefault;testcases.TC_TextNode_Anchor_Array:main;testcases.TC_CompositeRule_Map:<init>;testcases.TC_PadMode_Set:<init>;org.apache.batik.dom.AbstractNode:createDOMException;org.apache.batik.i18n.LocalizableSupport:getString;java.lang.StringBuilder:toString;testcases.TC_CompositeRule_List:<init>;org.apache.batik.dom.events.AbstractEvent:<init>;testcases.TC_CompositeRule_Simple:<init>;testcases.TC_CompositeRule_List:main;org.apache.batik.dom.events.AbstractEvent:initEventNS;org.apache.batik.dom.events.DocumentEventSupport$UIEventFactory:createEvent;org.apache.batik.dom.events.AbstractEvent:preventDefault;edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getObject;org.apache.batik.dom.AbstractParentNode$ChildNodes:append;java.lang.String:hashCode;org.apache.batik.dom.events.EventSupport:getAncestors;testcases.TC_ARGBChannel_Simple:<init>;java.util.HashSet:add;edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:getTestName;java.util.HashSet:<init>;org.apache.batik.dom.events.AbstractEvent:getType;java.lang.Class:toString;org.apache.batik.dom.AbstractChildNode:<init>;org.apache.batik.dom.GenericDocumentType:getNodeType;org.apache.batik.dom.events.EventSupport:createEventException;testcases.TC_TextNode_Anchor_Simple:main;org.apache.batik.dom.AbstractParentNode:getFirstChild;org.apache.batik.dom.events.AbstractEvent:getStopPropagation;testcases.TC_CompositeRule_Set:<init>;org.apache.batik.dom.AbstractNode:getCurrentDocument;org.apache.batik.i18n.LocalizableSupport:lookupResourceBundle;java.lang.Throwable:printStackTrace;java.lang.Integer:<init>;testcases.TC_TextNode_Anchor_Array:<init>;testcases.TC_TextNode_Anchor_List:<init>;org.apache.batik.dom.events.DOMMutationNameEvent:<init>;org.apache.batik.dom.AbstractNode:setOwnerDocument;testcases.TC_AbstractDocument_List:main;org.apache.batik.dom.events.DocumentEventSupport$KeyEventFactory:<init>;org.apache.batik.dom.AbstractChildNode:getNextSibling;org.apache.batik.dom.events.AbstractEvent:getStopImmediatePropagation;edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName;org.apache.batik.dom.events.AbstractEvent:getDefaultPrevented;org.apache.batik.dom.events.DocumentEventSupport$MouseEventFactory:<init>;testcases.TC_TextNode_Anchor_List:main;testcases.TC_PadMode_Array:<init>;testcases.TC_ARGBChannel_Simple:main;testcases.TC_PadMode_Array:main;org.apache.batik.dom.util.HashTable:rehash;org.apache.batik.dom.AbstractChildNode:setNextSibling;org.apache.batik.dom.AbstractNode:getEventSupport;org.apache.batik.dom.events.DocumentEventSupport$MutationNameEventFactory:<init>;org.apache.batik.dom.util.HashTable:put;org.apache.batik.dom.AbstractNode:fireDOMNodeInsertedIntoDocumentEvent;java.lang.Throwable:toString;org.apache.batik.dom.AbstractNode:dispatchEvent;org.apache.batik.dom.events.DocumentEventSupport$CustomEventFactory:createEvent;org.apache.batik.dom.events.AbstractEvent:stopImmediatePropagation;org.apache.batik.dom.events.EventSupport:getEventListeners;testcases.TC_TextNode_Anchor_Simple:<init>;java.util.ArrayList:<init>;org.apache.batik.dom.AbstractNode:getParentNode;edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:<init>;org.apache.batik.dom.AbstractDocument:getDoctype;java.util.ArrayList:get;testcases.TC_CompositeRule_Simple:main;org.apache.batik.dom.events.EventSupport:<init>;org.apache.batik.dom.events.EventSupport:runDefaultActions;testcases.TC_AbstractDocument_Set:<init>;testcases.TC_TextNode_Anchor_Set:<init>;org.apache.batik.dom.AbstractDocument:<init>;org.apache.batik.i18n.LocaleGroup:getLocale;testcases.TC_TextNode_Anchor_Simple:getObject;org.apache.batik.dom.events.DocumentEventSupport$MutationNameEventFactory:createEvent;java.lang.String:length;org.apache.batik.dom.events.AbstractEvent:setTarget;org.apache.batik.dom.events.DOMUIEvent:<init>;testcases.TC_ARGBChannel_List:<init>;org.apache.batik.dom.events.EventSupport:fireEventListeners;org.apache.batik.dom.events.AbstractEvent:getNamespaceURI;org.apache.batik.dom.events.DocumentEventSupport:createEvent;org.apache.batik.dom.events.DocumentEventSupport$CustomEventFactory:<init>;testcases.TC_ARGBChannel_Simple:getObject;org.apache.batik.ext.awt.image.CompositeRule:<init>;testcases.TC_PadMode_Map:<init>;java.lang.Error:<init>;edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest;org.apache.batik.dom.AbstractNode:fireDOMNodeRemovedFromDocumentEvent;org.apache.batik.i18n.LocalizableSupport:<init>;testcases.TC_PadMode_Map:main;org.apache.batik.ext.awt.image.ARGBChannel:toString;org.apache.batik.ext.awt.image.ARGBChannel:<init>;org.apache.batik.dom.AbstractChildNode:setPreviousSibling,12015
batik,TC_PadMode_Array.txt,SALSA,1-CFA,0,457,8,7,0,442,org.apache.batik.i18n.LocalizableSupport:setUsedLocale;org.apache.batik.dom.events.DocumentEventSupport$TextEventFactory:createEvent;testcases.TC_TextNode_Anchor_Map:<init>;java.util.ArrayList:add;org.apache.batik.dom.GenericDocument:<init>;testcases.TC_AbstractDocument_Array:<init>;org.apache.batik.dom.events.DocumentEventSupport$MutationEventFactory:createEvent;java.util.ArrayList:size;java.util.HashSet:contains;testcases.TC_TextNode_Anchor_Map:main;org.apache.batik.dom.AbstractParentNode:checkAndRemove;testcases.TC_CompositeRule_Array:<init>;testcases.TC_PadMode_Simple:getObject;org.apache.batik.dom.xbl.GenericXBLManager:<init>;testcases.TC_PadMode_Simple:main;edu.rit.se.design.salsa.testcases.utils.AbstractCompositeTestCase:<init>;org.apache.batik.dom.events.DOMMutationEvent:initMutationEventNS;testcases.TC_AbstractDocument_Simple:<init>;org.apache.batik.dom.events.DocumentEventSupport$KeyboardEventFactory:<init>;testcases.TC_AbstractDocument_Map:main;org.apache.batik.dom.events.DocumentEventSupport$MouseEventFactory:createEvent;org.apache.batik.dom.AbstractNode:getParentNodeEventTarget;org.apache.batik.dom.AbstractParentNode:appendChild;org.apache.batik.dom.events.DOMTextEvent:<init>;org.apache.batik.dom.AbstractChildNode:setParentNode;org.apache.batik.dom.events.DOMEvent:<init>;org.apache.batik.dom.AbstractParentNode:fireDOMNodeRemovedEvent;org.apache.batik.dom.AbstractParentNode$ChildNodes:remove;org.apache.batik.ext.awt.image.PadMode:<init>;testcases.TC_PadMode_List:main;org.apache.batik.dom.AbstractDocument:getEventsEnabled;java.util.HashSet:clear;org.apache.batik.dom.events.DocumentEventSupport$MutationEventFactory:<init>;org.apache.batik.dom.AbstractNode:getFirstChild;org.apache.batik.dom.AbstractDOMImplementation:createDocumentEventSupport;org.apache.batik.dom.xbl.GenericXBLManager:getXblParentNode;org.apache.batik.dom.AbstractDocument:setEventsEnabled;java.lang.StringBuilder:append;testcases.TC_AbstractDocument_Simple:getObject;testcases.TC_ARGBChannel_Array:<init>;org.apache.batik.dom.GenericDOMImplementation:<init>;org.apache.batik.dom.GenericDocument:isReadonly;testcases.TC_AbstractDocument_Map:<init>;org.apache.batik.dom.AbstractChildNode:getParentNode;org.apache.batik.gvt.TextNode$Anchor:<init>;java.util.HashMap:<init>;edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:<init>;testcases.TC_AbstractDocument_Simple:main;org.apache.batik.dom.GenericDocumentType:<init>;edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getTestName;org.apache.batik.i18n.LocalizableSupport:hasNextResourceBundle;java.lang.String:toLowerCase;org.apache.batik.dom.AbstractNode:getXblParentNode;edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:<init>;org.apache.batik.dom.AbstractParentNode$ChildNodes:<init>;org.apache.batik.dom.events.DOMCustomEvent:<init>;edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:<init>;java.lang.Class:getName;org.apache.batik.dom.events.DocumentEventSupport$TextEventFactory:<init>;org.apache.batik.dom.AbstractParentNode:fireDOMNodeInsertedEvent;testcases.TC_AbstractDocument_List:<init>;org.apache.batik.dom.util.HashTable:get;testcases.TC_ARGBChannel_Set:main;edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getObject;java.util.MissingResourceException:<init>;org.apache.batik.dom.events.DOMKeyboardEvent:<init>;testcases.TC_CompositeRule_Set:main;testcases.TC_CompositeRule_Simple:getObject;org.apache.batik.dom.AbstractDocument:getNodeName;org.apache.batik.dom.events.DOMMouseEvent:<init>;org.apache.batik.dom.AbstractDocument:getXBLManager;testcases.TC_ARGBChannel_Map:<init>;edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getObject;testcases.TC_ARGBChannel_Set:<init>;testcases.TC_CompositeRule_Array:main;java.util.AbstractMap:toString;testcases.TC_AbstractDocument_Set:main;org.apache.batik.dom.events.DOMMutationEvent:<init>;org.apache.batik.dom.AbstractDocument:checkChildType;testcases.TC_ARGBChannel_Array:main;testcases.TC_ARGBChannel_List:main;org.apache.batik.dom.events.EventSupport:dispatchEvent;org.apache.batik.dom.events.DocumentEventSupport$SimpleEventFactory:createEvent;testcases.TC_AbstractDocument_Array:main;org.apache.batik.dom.AbstractParentNode:nodeAdded;org.apache.batik.dom.AbstractParentNode:removeChild;org.apache.batik.dom.AbstractDOMImplementation:<init>;salsa.model.ObjectOutputStream:writeObject;org.apache.batik.dom.AbstractDocument:getImplementation;testcases.TC_PadMode_Simple:<init>;edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:getObject;org.apache.batik.dom.AbstractDocument:getNodeType;testcases.TC_PadMode_List:<init>;org.apache.batik.dom.AbstractDocument:createEvent;org.apache.batik.i18n.LocalizableSupport:getCurrentLocale;org.apache.batik.dom.AbstractDOMImplementation:createEventSupport;java.lang.StringBuilder:<init>;org.apache.batik.dom.events.DocumentEventSupport$SimpleEventFactory:<init>;org.apache.batik.dom.AbstractDocument:getCurrentDocument;org.apache.batik.dom.AbstractNode:initializeEventSupport;java.lang.System:currentTimeMillis;testcases.TC_PadMode_Set:main;java.lang.Class:getClassLoader;org.apache.batik.dom.events.DocumentEventSupport$KeyboardEventFactory:createEvent;org.apache.batik.dom.GenericDocumentType:getNodeName;testcases.TC_TextNode_Anchor_Set:main;java.lang.Object:getClass;java.util.ArrayList:clear;org.apache.batik.i18n.LocaleGroup:<init>;org.apache.batik.dom.events.DOMKeyEvent:<init>;org.apache.batik.ext.awt.image.CompositeRule:toString;java.lang.String:equals;org.apache.batik.i18n.LocalizableSupport:getResourceBundle;edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:<init>;org.apache.batik.dom.AbstractParentNode:fireDOMSubtreeModifiedEvent;edu.rit.se.design.salsa.testcases.utils.CompositeMapTestCase:getTestName;java.util.AbstractCollection:toString;org.apache.batik.dom.AbstractDocument:nodeToBeRemoved;org.apache.batik.dom.events.AbstractEvent:setCurrentTarget;org.apache.batik.dom.events.AbstractEvent:setEventPhase;org.apache.batik.dom.AbstractChildNode:getPreviousSibling;org.apache.batik.dom.AbstractNode:getOwnerDocument;org.apache.batik.i18n.LocalizableSupport:formatMessage;org.apache.batik.dom.AbstractDocument:getXblParentNode;testcases.TC_CompositeRule_Map:main;org.apache.batik.dom.AbstractNode$1:<init>;java.util.HashMap:put;org.apache.batik.dom.AbstractDocument:formatMessage;org.apache.batik.dom.events.DocumentEventSupport:<init>;java.text.MessageFormat:format;org.apache.batik.dom.events.DocumentEventSupport$UIEventFactory:<init>;java.util.ResourceBundle:getString;testcases.TC_ARGBChannel_Map:main;java.util.ResourceBundle:getBundle;java.util.AbstractCollection:addAll;java.lang.Object:<init>;edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getTestName;edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:<init>;org.apache.batik.dom.events.AbstractEvent:stopPropagation;org.apache.batik.dom.events.DocumentEventSupport$KeyEventFactory:createEvent;org.apache.batik.dom.events.AbstractEvent:getBubbles;org.apache.batik.dom.AbstractDOMImplementation:registerFeature;org.apache.batik.dom.events.AbstractEvent:getDefaultActions;java.lang.Object:toString;org.apache.batik.dom.AbstractNode:<init>;org.apache.batik.dom.AbstractDocument:getDocumentElement;org.apache.batik.dom.util.HashTable$Entry:<init>;org.apache.batik.dom.AbstractParentNode:<init>;testcases.TC_TextNode_Anchor_Array:main;testcases.TC_CompositeRule_Map:<init>;org.apache.batik.dom.util.HashTable:<init>;java.util.Locale:getDefault;testcases.TC_PadMode_Set:<init>;org.apache.batik.dom.AbstractNode:createDOMException;org.apache.batik.i18n.LocalizableSupport:getString;java.lang.StringBuilder:toString;org.apache.batik.dom.events.AbstractEvent:<init>;testcases.TC_CompositeRule_List:<init>;testcases.TC_CompositeRule_Simple:<init>;testcases.TC_CompositeRule_List:main;org.apache.batik.dom.events.AbstractEvent:initEventNS;org.apache.batik.dom.events.DocumentEventSupport$UIEventFactory:createEvent;org.apache.batik.dom.events.AbstractEvent:preventDefault;edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getObject;org.apache.batik.dom.AbstractParentNode$ChildNodes:append;java.lang.String:hashCode;org.apache.batik.dom.events.EventSupport:getAncestors;testcases.TC_ARGBChannel_Simple:<init>;java.util.HashSet:add;edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:getTestName;java.util.HashSet:<init>;org.apache.batik.dom.events.AbstractEvent:getType;org.apache.batik.dom.AbstractChildNode:<init>;org.apache.batik.dom.GenericDocumentType:getNodeType;org.apache.batik.dom.events.EventSupport:createEventException;testcases.TC_TextNode_Anchor_Simple:main;org.apache.batik.dom.AbstractParentNode:getFirstChild;org.apache.batik.dom.events.AbstractEvent:getStopPropagation;org.apache.batik.dom.AbstractNode:getCurrentDocument;testcases.TC_CompositeRule_Set:<init>;org.apache.batik.i18n.LocalizableSupport:lookupResourceBundle;java.lang.Throwable:printStackTrace;java.lang.Integer:<init>;testcases.TC_TextNode_Anchor_Array:<init>;testcases.TC_TextNode_Anchor_List:<init>;org.apache.batik.dom.events.DOMMutationNameEvent:<init>;org.apache.batik.dom.AbstractNode:setOwnerDocument;testcases.TC_AbstractDocument_List:main;org.apache.batik.dom.events.DocumentEventSupport$KeyEventFactory:<init>;org.apache.batik.dom.AbstractChildNode:getNextSibling;org.apache.batik.dom.events.AbstractEvent:getStopImmediatePropagation;edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName;org.apache.batik.dom.events.AbstractEvent:getDefaultPrevented;org.apache.batik.dom.events.DocumentEventSupport$MouseEventFactory:<init>;testcases.TC_PadMode_Array:<init>;testcases.TC_TextNode_Anchor_List:main;testcases.TC_ARGBChannel_Simple:main;testcases.TC_PadMode_Array:main;org.apache.batik.dom.util.HashTable:rehash;org.apache.batik.dom.AbstractChildNode:setNextSibling;org.apache.batik.dom.AbstractNode:getEventSupport;org.apache.batik.dom.events.DocumentEventSupport$MutationNameEventFactory:<init>;org.apache.batik.dom.util.HashTable:put;org.apache.batik.dom.AbstractNode:fireDOMNodeInsertedIntoDocumentEvent;org.apache.batik.dom.AbstractNode:dispatchEvent;org.apache.batik.dom.events.DocumentEventSupport$CustomEventFactory:createEvent;org.apache.batik.dom.events.AbstractEvent:stopImmediatePropagation;org.apache.batik.dom.events.EventSupport:getEventListeners;testcases.TC_TextNode_Anchor_Simple:<init>;java.util.ArrayList:<init>;org.apache.batik.dom.AbstractNode:getParentNode;edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:<init>;org.apache.batik.dom.AbstractDocument:getDoctype;testcases.TC_CompositeRule_Simple:main;java.util.ArrayList:get;org.apache.batik.dom.events.EventSupport:<init>;org.apache.batik.dom.events.EventSupport:runDefaultActions;testcases.TC_AbstractDocument_Set:<init>;testcases.TC_TextNode_Anchor_Set:<init>;org.apache.batik.dom.AbstractDocument:<init>;org.apache.batik.i18n.LocaleGroup:getLocale;testcases.TC_TextNode_Anchor_Simple:getObject;org.apache.batik.dom.events.DocumentEventSupport$MutationNameEventFactory:createEvent;java.lang.String:length;org.apache.batik.dom.events.AbstractEvent:setTarget;org.apache.batik.dom.events.DOMUIEvent:<init>;testcases.TC_ARGBChannel_List:<init>;org.apache.batik.dom.events.EventSupport:fireEventListeners;org.apache.batik.dom.events.AbstractEvent:getNamespaceURI;org.apache.batik.dom.events.DocumentEventSupport:createEvent;org.apache.batik.dom.events.DocumentEventSupport$CustomEventFactory:<init>;testcases.TC_ARGBChannel_Simple:getObject;org.apache.batik.ext.awt.image.CompositeRule:<init>;testcases.TC_PadMode_Map:<init>;java.lang.Error:<init>;edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest;org.apache.batik.dom.AbstractNode:fireDOMNodeRemovedFromDocumentEvent;org.apache.batik.i18n.LocalizableSupport:<init>;testcases.TC_PadMode_Map:main;org.apache.batik.ext.awt.image.ARGBChannel:toString;org.apache.batik.ext.awt.image.ARGBChannel:<init>;org.apache.batik.dom.AbstractChildNode:setPreviousSibling,11978
