Project,TC,Approach,Policy,FromNode,ToNode
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:getObject,testcases.TC_PadMode_Simple:getObject
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:getObject,testcases.TC_AbstractDocument_Simple:getObject
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractCompositeTestCase:<init>,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:<init>
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Class:getName
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName,java.lang.Object:getClass
batik,ALL,WALA,0-1-CFA,org.apache.batik.ext.awt.image.PadMode:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_TextNode_Anchor_List:main,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest
batik,ALL,WALA,0-1-CFA,testcases.TC_TextNode_Anchor_List:main,testcases.TC_TextNode_Anchor_Simple:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_TextNode_Anchor_List:main,testcases.TC_TextNode_Anchor_List:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_TextNode_Anchor_Simple:<init>,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_TextNode_Anchor_List:<init>,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:<init>
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:<init>,edu.rit.se.design.salsa.testcases.utils.AbstractCompositeTestCase:<init>
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getTestName,java.lang.StringBuilder:toString
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getTestName,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getTestName,java.lang.StringBuilder:<init>
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getTestName,java.lang.StringBuilder:append
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getObject,testcases.TC_CompositeRule_Simple:getObject
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getObject,java.util.ArrayList:<init>
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getObject,java.util.ArrayList:add
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getObject,testcases.TC_ARGBChannel_Simple:getObject
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getObject,testcases.TC_TextNode_Anchor_Simple:getObject
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getObject,testcases.TC_PadMode_Simple:getObject
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:getObject,testcases.TC_AbstractDocument_Simple:getObject
batik,ALL,WALA,0-1-CFA,org.apache.batik.gvt.TextNode$Anchor:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_CompositeRule_Set:main,testcases.TC_CompositeRule_Simple:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_CompositeRule_Set:main,testcases.TC_CompositeRule_Set:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_CompositeRule_Set:main,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest
batik,ALL,WALA,0-1-CFA,testcases.TC_CompositeRule_Simple:<init>,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_CompositeRule_Set:<init>,edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.ext.awt.image.CompositeRule:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.ext.awt.image.CompositeRule:toString,java.lang.StringBuilder:toString
batik,ALL,WALA,0-1-CFA,org.apache.batik.ext.awt.image.CompositeRule:toString,java.lang.Error:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.ext.awt.image.CompositeRule:toString,java.lang.StringBuilder:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.ext.awt.image.CompositeRule:toString,java.lang.StringBuilder:append
batik,ALL,WALA,0-1-CFA,testcases.TC_CompositeRule_Array:main,testcases.TC_CompositeRule_Array:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_CompositeRule_Array:main,testcases.TC_CompositeRule_Simple:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_CompositeRule_Array:main,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest
batik,ALL,WALA,0-1-CFA,testcases.TC_CompositeRule_Array:<init>,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:<init>
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:<init>,edu.rit.se.design.salsa.testcases.utils.AbstractCompositeTestCase:<init>
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getTestName,java.lang.StringBuilder:toString
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getTestName,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:getTestName
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getTestName,java.lang.StringBuilder:<init>
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getTestName,java.lang.StringBuilder:append
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getObject,testcases.TC_CompositeRule_Simple:getObject
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getObject,testcases.TC_TextNode_Anchor_Simple:getObject
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getObject,testcases.TC_ARGBChannel_Simple:getObject
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getObject,testcases.TC_PadMode_Simple:getObject
batik,ALL,WALA,0-1-CFA,edu.rit.se.design.salsa.testcases.utils.CompositeArrayTestCase:getObject,testcases.TC_AbstractDocument_Simple:getObject
batik,ALL,WALA,0-1-CFA,testcases.TC_CompositeRule_List:main,testcases.TC_CompositeRule_List:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_CompositeRule_List:main,testcases.TC_CompositeRule_Simple:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_CompositeRule_List:main,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest
batik,ALL,WALA,0-1-CFA,testcases.TC_CompositeRule_List:<init>,edu.rit.se.design.salsa.testcases.utils.CompositeListTestCase:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_ARGBChannel_Simple:main,testcases.TC_ARGBChannel_Simple:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_ARGBChannel_Simple:main,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest
batik,ALL,WALA,0-1-CFA,testcases.TC_ARGBChannel_Simple:<init>,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.ext.awt.image.ARGBChannel:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_AbstractDocument_Set:main,testcases.TC_AbstractDocument_Set:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_AbstractDocument_Set:main,testcases.TC_AbstractDocument_Simple:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_AbstractDocument_Set:main,edu.rit.se.design.salsa.testcases.utils.AbstractTestCase:runTest
batik,ALL,WALA,0-1-CFA,testcases.TC_AbstractDocument_Simple:<init>,edu.rit.se.design.salsa.testcases.utils.AbstractSimpleTestCase:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_AbstractDocument_Set:<init>,edu.rit.se.design.salsa.testcases.utils.CompositeSetTestCase:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_AbstractDocument_Simple:getObject,org.apache.batik.dom.GenericDOMImplementation:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_AbstractDocument_Simple:getObject,org.apache.batik.dom.GenericDocumentType:<init>
batik,ALL,WALA,0-1-CFA,testcases.TC_AbstractDocument_Simple:getObject,org.apache.batik.dom.GenericDocument:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.GenericDocumentType:<init>,org.apache.batik.dom.AbstractChildNode:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.GenericDOMImplementation:<init>,org.apache.batik.dom.AbstractDOMImplementation:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.GenericDocument:<init>,org.apache.batik.dom.AbstractDocument:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractNode$1:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractChildNode:<init>,org.apache.batik.dom.AbstractNode:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDOMImplementation:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDOMImplementation:<init>,org.apache.batik.dom.AbstractDOMImplementation:registerFeature
