ProjectName	TestCase	ApproachName	Policy	Time (ms)
batik-testcases.jar	Ltestcases/TC_AbstractDocument_List	SALSA	0-1-CFA	742
batik-testcases.jar	Ltestcases/TC_CompositeRule_Set	SALSA	0-1-CFA	238
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Map	SALSA	0-1-CFA	198
batik-testcases.jar	Ltestcases/TC_PadMode_Map	SALSA	0-1-CFA	252
batik-testcases.jar	Ltestcases/TC_CompositeRule_Simple	SALSA	0-1-CFA	87
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_List	SALSA	0-1-CFA	270
batik-testcases.jar	Ltestcases/TC_ARGBChannel_List	SALSA	0-1-CFA	183
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Set	SALSA	0-1-CFA	176
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Array	SALSA	0-1-CFA	732
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Set	SALSA	0-1-CFA	757
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Simple	SALSA	0-1-CFA	127
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Array	SALSA	0-1-CFA	119
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Simple	SALSA	0-1-CFA	112
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Simple	SALSA	0-1-CFA	660
batik-testcases.jar	Ltestcases/TC_PadMode_Simple	SALSA	1-CFA	249
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Array	SALSA	1-CFA	301
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Map	SALSA	1-CFA	346
batik-testcases.jar	Ltestcases/TC_CompositeRule_List	SALSA	1-CFA	318
batik-testcases.jar	Ltestcases/TC_PadMode_Set	SALSA	1-CFA	249
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Map	SALSA	1-CFA	918
batik-testcases.jar	Ltestcases/TC_CompositeRule_Map	SALSA	1-CFA	332
batik-testcases.jar	Ltestcases/TC_PadMode_Array	SALSA	1-CFA	217
batik-testcases.jar	Ltestcases/TC_CompositeRule_Array	SALSA	1-CFA	169
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Set	SALSA	1-CFA	188
batik-testcases.jar	Ltestcases/TC_PadMode_List	SALSA	1-CFA	295
batik-testcases.jar	Ltestcases/TC_AbstractDocument_List	SALSA	1-CFA	921
batik-testcases.jar	Ltestcases/TC_CompositeRule_Set	SALSA	1-CFA	210
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Map	SALSA	1-CFA	263
batik-testcases.jar	Ltestcases/TC_PadMode_Map	SALSA	1-CFA	314
batik-testcases.jar	Ltestcases/TC_CompositeRule_Simple	SALSA	1-CFA	190
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_List	SALSA	1-CFA	304
batik-testcases.jar	Ltestcases/TC_ARGBChannel_List	SALSA	1-CFA	337
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Set	SALSA	1-CFA	214
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Array	SALSA	1-CFA	745
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Set	SALSA	1-CFA	1016
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Simple	SALSA	1-CFA	228
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Array	SALSA	1-CFA	145
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Simple	SALSA	1-CFA	176
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Simple	SALSA	1-CFA	762
batik-testcases.jar	Ltestcases/TC_PadMode_Simple	WALA	0-1-CFA	361
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Array	WALA	0-1-CFA	151
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Map	WALA	0-1-CFA	234
batik-testcases.jar	Ltestcases/TC_CompositeRule_List	WALA	0-1-CFA	149
batik-testcases.jar	Ltestcases/TC_PadMode_Set	WALA	0-1-CFA	196
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Map	WALA	0-1-CFA	546
batik-testcases.jar	Ltestcases/TC_CompositeRule_Map	WALA	0-1-CFA	272
batik-testcases.jar	Ltestcases/TC_PadMode_Array	WALA	0-1-CFA	133
batik-testcases.jar	Ltestcases/TC_CompositeRule_Array	WALA	0-1-CFA	230
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Set	WALA	0-1-CFA	115
batik-testcases.jar	Ltestcases/TC_PadMode_List	WALA	0-1-CFA	235
batik-testcases.jar	Ltestcases/TC_AbstractDocument_List	WALA	0-1-CFA	415
batik-testcases.jar	Ltestcases/TC_CompositeRule_Set	WALA	0-1-CFA	259
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Map	WALA	0-1-CFA	258
