ProjectName	TestCase	ApproachName	Policy	Time (ms)	#Extra Iterations
batik-testcases.jar	Ltestcases/TC_PadMode_Simple	SENECA	0-1-CFA	2794	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Array	SENECA	0-1-CFA	1007	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Map	SENECA	0-1-CFA	1035	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_List	SENECA	0-1-CFA	909	3
batik-testcases.jar	Ltestcases/TC_PadMode_Set	SENECA	0-1-CFA	811	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Map	SENECA	0-1-CFA	558	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Map	SENECA	0-1-CFA	1280	3
batik-testcases.jar	Ltestcases/TC_PadMode_Array	SENECA	0-1-CFA	778	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Array	SENECA	0-1-CFA	912	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Set	SENECA	0-1-CFA	1040	3
batik-testcases.jar	Ltestcases/TC_PadMode_List	SENECA	0-1-CFA	1141	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_List	SENECA	0-1-CFA	942	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Set	SENECA	0-1-CFA	1013	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Map	SENECA	0-1-CFA	1041	3
batik-testcases.jar	Ltestcases/TC_PadMode_Map	SENECA	0-1-CFA	1047	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_Simple	SENECA	0-1-CFA	880	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_List	SENECA	0-1-CFA	924	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_List	SENECA	0-1-CFA	1204	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Set	SENECA	0-1-CFA	994	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Array	SENECA	0-1-CFA	630	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Set	SENECA	0-1-CFA	834	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Simple	SENECA	0-1-CFA	703	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Array	SENECA	0-1-CFA	792	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Simple	SENECA	0-1-CFA	813	3
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Simple	SENECA	0-1-CFA	844	3
batik-testcases.jar	Ltestcases/TC_PadMode_Simple	SENECA	1-CFA	1414	3
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Array	SENECA	1-CFA	1179	3
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Map	SENECA	1-CFA	1046	3
batik-testcases.jar	Ltestcases/TC_CompositeRule_List	SENECA	1-CFA	1061	3
batik-testcases.jar	Ltestcases/TC_PadMode_Set	SENECA	1-CFA	1192	3
