ProjectName	TestCase	ApproachName	Policy	# Nodes	#Edges
batik	Ltestcases/TC_TextNode_Anchor_List	SALSA	0-1-CFA	970	2013
batik	Ltestcases/TC_ARGBChannel_List	SALSA	0-1-CFA	971	2015
batik	Ltestcases/TC_ARGBChannel_Set	SALSA	0-1-CFA	986	2041
batik	Ltestcases/TC_AbstractDocument_Array	SALSA	0-1-CFA	1806	4014
batik	Ltestcases/TC_AbstractDocument_Set	SALSA	0-1-CFA	1984	4609
batik	Ltestcases/TC_ARGBChannel_Simple	SALSA	0-1-CFA	768	1422
batik	Ltestcases/TC_TextNode_Anchor_Array	SALSA	0-1-CFA	777	1443
batik	Ltestcases/TC_TextNode_Anchor_Simple	SALSA	0-1-CFA	772	1434
batik	Ltestcases/TC_AbstractDocument_Simple	SALSA	0-1-CFA	1966	4526
batik	Ltestcases/TC_PadMode_Simple	SALSA	1-CFA	1714	3040
batik	Ltestcases/TC_ARGBChannel_Array	SALSA	1-CFA	1725	3057
batik	Ltestcases/TC_TextNode_Anchor_Map	SALSA	1-CFA	2498	4937
batik	Ltestcases/TC_CompositeRule_List	SALSA	1-CFA	2492	4970
batik	Ltestcases/TC_PadMode_Set	SALSA	1-CFA	1762	3110
batik	Ltestcases/TC_AbstractDocument_Map	SALSA	1-CFA	6485	14993
batik	Ltestcases/TC_CompositeRule_Map	SALSA	1-CFA	2518	4987
batik	Ltestcases/TC_PadMode_Array	SALSA	1-CFA	1724	3055
batik	Ltestcases/TC_CompositeRule_Array	SALSA	1-CFA	1730	3067
batik	Ltestcases/TC_TextNode_Anchor_Set	SALSA	1-CFA	1762	3110
batik	Ltestcases/TC_PadMode_List	SALSA	1-CFA	2472	4920
batik	Ltestcases/TC_AbstractDocument_List	SALSA	1-CFA	6435	14777
batik	Ltestcases/TC_CompositeRule_Set	SALSA	1-CFA	1765	3125
batik	Ltestcases/TC_ARGBChannel_Map	SALSA	1-CFA	2501	4941
batik	Ltestcases/TC_PadMode_Map	SALSA	1-CFA	2498	4937
batik	Ltestcases/TC_CompositeRule_Simple	SALSA	1-CFA	1718	3056
batik	Ltestcases/TC_TextNode_Anchor_List	SALSA	1-CFA	2472	4920
batik	Ltestcases/TC_ARGBChannel_List	SALSA	1-CFA	2475	4924
batik	Ltestcases/TC_ARGBChannel_Set	SALSA	1-CFA	1748	3091
batik	Ltestcases/TC_AbstractDocument_Array	SALSA	1-CFA	5733	12941
batik	Ltestcases/TC_AbstractDocument_Set	SALSA	1-CFA	6463	14973
batik	Ltestcases/TC_ARGBChannel_Simple	SALSA	1-CFA	1701	3022
batik	Ltestcases/TC_TextNode_Anchor_Array	SALSA	1-CFA	1724	3055
batik	Ltestcases/TC_TextNode_Anchor_Simple	SALSA	1-CFA	1714	3040
batik	Ltestcases/TC_AbstractDocument_Simple	SALSA	1-CFA	5723	12926
batik	Ltestcases/TC_PadMode_Simple	WALA	0-1-CFA	1182	2652
batik	Ltestcases/TC_ARGBChannel_Array	WALA	0-1-CFA	1188	2662
batik	Ltestcases/TC_TextNode_Anchor_Map	WALA	0-1-CFA	1199	2683
batik	Ltestcases/TC_CompositeRule_List	WALA	0-1-CFA	1192	2682
batik	Ltestcases/TC_PadMode_Set	WALA	0-1-CFA	1197	2685
batik	Ltestcases/TC_AbstractDocument_Map	WALA	0-1-CFA	2201	5287
batik	Ltestcases/TC_CompositeRule_Map	WALA	0-1-CFA	1200	2690
batik	Ltestcases/TC_PadMode_Array	WALA	0-1-CFA	1187	2661
batik	Ltestcases/TC_CompositeRule_Array	WALA	0-1-CFA	1188	2668
