algorithm	/artefactEvaluation/testcaseJars/Ser1.conf	/artefactEvaluation/testcaseJars/Ser2.conf	/artefactEvaluation/testcaseJars/Ser3.conf	/artefactEvaluation/testcaseJars/Ser4.conf	/artefactEvaluation/testcaseJars/Ser5.conf	/artefactEvaluation/testcaseJars/Ser6.conf	/artefactEvaluation/testcaseJars/Ser7.conf	/artefactEvaluation/testcaseJars/Ser8.conf	/artefactEvaluation/testcaseJars/Ser9.conf	/artefactEvaluation/testcaseJars/SerLam1.conf	/artefactEvaluation/testcaseJars/SerLam2.conf
OPAL-RTA	S	S	U	U	S	U	S	U	S	U	U
