ProjectName,TestCase,ApproachName,Policy,Time (ms),#Extra Iterations
batik-testcases.jar,Ltestcases/TC_CompositeRule_Array,SALSA,0-1-CFA,68,2
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Set,SALSA,0-1-CFA,113,3
batik-testcases.jar,Ltestcases/TC_PadMode_List,SALSA,0-1-CFA,110,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_List,SALSA,0-1-CFA,399,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Set,SALSA,0-1-CFA,117,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Map,SALSA,0-1-CFA,159,3
batik-testcases.jar,Ltestcases/TC_PadMode_Map,SALSA,0-1-CFA,186,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Simple,SALSA,0-1-CFA,62,2
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_List,SALSA,0-1-CFA,201,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_List,SALSA,0-1-CFA,150,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Set,SALSA,0-1-CFA,112,3
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Array,SALSA,0-1-CFA,630,2
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Set,SALSA,0-1-CFA,678,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Simple,SALSA,0-1-CFA,137,2
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Array,SALSA,0-1-CFA,58,2
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Simple,SALSA,0-1-CFA,60,2
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Simple,SALSA,0-1-CFA,398,3
batik-testcases.jar,Ltestcases/TC_PadMode_Simple,SALSA,1-CFA,248,3
batik-testcases.jar,Ltestcases/TC_ARGBChannel_Array,SALSA,1-CFA,245,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Map,SALSA,1-CFA,326,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_List,SALSA,1-CFA,297,3
batik-testcases.jar,Ltestcases/TC_PadMode_Set,SALSA,1-CFA,126,2
batik-testcases.jar,Ltestcases/TC_AbstractDocument_Map,SALSA,1-CFA,616,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Map,SALSA,1-CFA,164,3
batik-testcases.jar,Ltestcases/TC_PadMode_Array,SALSA,1-CFA,182,3
batik-testcases.jar,Ltestcases/TC_CompositeRule_Array,SALSA,1-CFA,157,3
batik-testcases.jar,Ltestcases/TC_TextNode_Anchor_Set,SALSA,1-CFA,153,2
batik-testcases.jar,Ltestcases/TC_PadMode_List,SALSA,1-CFA,256,3
